City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Hermanus,ZA,-34.4187,19.2345,56.8,87,93,14.45,overcast clouds
80,Grindavik,IS,63.8424,-22.4338,46.87,100,75,11.5,broken clouds
81,Tuktoyaktuk,CA,69.4541,-133.0374,39.2,93,100,21.85,overcast clouds
82,Sadon,RU,42.8518,44.0037,62.33,71,16,3.49,few clouds
83,Port Lincoln,AU,-34.7333,135.8667,58.32,59,1,5.93,clear sky
84,Boa Vista,BR,2.8197,-60.6733,80.58,74,0,2.3,clear sky
85,Batemans Bay,AU,-35.7167,150.1833,56.1,45,26,10.36,scattered clouds
86,Buckeye,US,33.3703,-112.5838,108.09,24,22,10.36,few clouds
87,Leningradskiy,RU,69.3833,178.4167,39.65,79,96,9.1,overcast clouds
88,Santa Maria Da Vitoria,BR,-13.3947,-44.1886,69.31,54,31,3.94,scattered clouds
89,Thompson,CA,55.7435,-97.8558,77.16,44,40,8.05,scattered clouds
90,Pedernales,DO,18.0384,-71.744,79.61,77,0,3.38,clear sky
91,Kupang,ID,-10.1667,123.5833,81.54,58,9,14.41,clear sky
92,Shelburne,CA,44.0787,-80.2041,59.45,89,10,5.14,clear sky
93,Pozo Colorado,PY,-23.4923,-58.7972,67.3,63,100,6.89,overcast clouds
94,Venado Tuerto,AR,-33.7456,-61.9688,47.77,63,1,12.86,clear sky
95,Farafangana,MG,-22.8167,47.8333,66.61,86,92,6.51,light rain
96,Mandawar,IN,29.5,78.1333,94.15,45,19,3.51,few clouds
97,Mahebourg,MU,-20.4081,57.7,68.29,83,75,14.97,broken clouds
98,San Cristobal,VE,7.7669,-72.225,71.78,90,69,2.59,broken clouds
99,Hobart,AU,-42.8794,147.3294,55.26,71,40,13.8,scattered clouds
100,Port Hardy,CA,50.6996,-127.4199,57.38,82,75,9.22,broken clouds
101,Puerto Madryn,AR,-42.7692,-65.0385,45.61,54,100,8.99,overcast clouds
102,Lauro Muller,BR,-28.3928,-49.3967,51.57,97,13,2.98,few clouds
103,Ayotzintepec,MX,17.6667,-96.1333,74.23,95,100,2.71,overcast clouds
104,Cayenne,GF,4.9333,-52.3333,79.09,1,20,0.0,light rain
105,Avarua,CK,-21.2078,-159.775,75.25,64,75,8.05,broken clouds
106,Silver City,US,32.7701,-108.2803,75.16,51,40,9.22,scattered clouds
107,Songjianghe,CN,42.1859,127.479,71.82,75,73,8.63,broken clouds
108,Jaumave,MX,23.4167,-99.3833,68.99,95,68,1.32,broken clouds
109,Progreso,MX,21.2833,-89.6667,84.11,73,100,9.22,overcast clouds
110,Auchi,NG,7.0667,6.2667,71.89,98,100,4.74,light rain
111,Longyearbyen,SJ,78.2186,15.6401,48.04,87,75,0.0,broken clouds
112,Ketchikan,US,55.3422,-131.6461,55.38,94,100,16.11,moderate rain
113,Arica,CL,-18.475,-70.3042,61.03,72,100,5.75,overcast clouds
114,Palmer,US,42.1584,-72.3287,76.55,75,51,1.99,broken clouds
