City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,San Quintin,MX,2022-07-13 04:04:13,30.4833,-115.95,64.94,83,84,11.27
68,Los Llanos De Aridane,ES,2022-07-13 04:04:14,28.6585,-17.9182,65.12,82,0,5.01
69,Vila Franca Do Campo,PT,2022-07-13 04:04:14,37.7167,-25.4333,72.19,96,99,10.02
70,Luis Correia,BR,2022-07-13 04:04:15,-2.8792,-41.6669,75.83,91,49,8.81
71,Hermanus,ZA,2022-07-13 04:04:15,-34.4187,19.2345,52.7,80,2,13.82
72,Norman Wells,CA,2022-07-13 04:04:15,65.282,-126.8329,59.99,75,81,11.41
73,Vanimo,PG,2022-07-13 04:04:16,-2.6741,141.3028,86.36,63,80,7.49
74,Innisfail,AU,2022-07-13 04:04:16,-17.5333,146.0333,69.53,54,64,10.4
75,Payakumbuh,ID,2022-07-13 04:04:17,-0.2202,100.6308,78.15,75,100,1.61
76,Barrow,US,2022-07-13 04:04:17,71.2906,-156.7887,39.22,81,100,10.36
77,San Patricio,US,2022-07-13 04:04:18,28.017,-97.5169,85.89,77,3,13.53
78,Belmonte,BR,2022-07-13 04:04:18,-15.8631,-38.8828,70.36,76,38,3.15
79,Salalah,OM,2022-07-13 04:04:18,17.0151,54.0924,77.09,94,100,5.75
80,Grand Gaube,MU,2022-07-13 04:04:19,-20.0064,57.6608,72.0,66,76,7.0
81,Sapa,PH,2022-07-13 04:04:19,5.1544,120.3241,83.52,71,100,4.54
82,Henties Bay,NA,2022-07-13 04:04:20,-22.116,14.2845,54.77,89,0,6.24
83,Kloulklubed,PW,2022-07-13 04:04:21,7.0419,134.2556,82.9,75,59,13.22
84,Sambava,MG,2022-07-13 04:04:21,-14.2667,50.1667,70.05,87,97,11.1
85,Butaritari,KI,2022-07-13 04:04:22,3.0707,172.7902,82.33,73,92,16.91
86,Vila Velha,BR,2022-07-13 04:01:32,-20.3297,-40.2925,69.94,87,65,9.66
87,Souillac,MU,2022-07-13 04:04:22,-20.5167,57.5167,71.98,68,75,13.8
88,Sun Valley,US,2022-07-13 04:04:23,39.5963,-119.776,84.88,25,20,14.97
89,Manoel Urbano,BR,2022-07-13 04:04:23,-8.8389,-69.2597,75.4,77,65,2.08
90,Tual,ID,2022-07-13 04:05:24,-5.6667,132.75,79.09,84,93,23.38
91,Maniitsoq,GL,2022-07-13 04:05:24,65.4167,-52.9,41.63,96,100,11.52
92,Port Macquarie,AU,2022-07-13 04:03:32,-31.4333,152.9167,58.51,62,42,15.08
93,Homer,US,2022-07-13 04:05:25,59.6425,-151.5483,61.77,65,100,1.99
94,Victoria,HK,2022-07-13 04:05:14,22.2855,114.1577,91.45,69,55,8.01
95,Dole,FR,2022-07-13 04:05:26,47.0833,5.5,62.51,77,0,3.44
96,Jamestown,US,2022-07-13 04:05:27,42.097,-79.2353,69.39,82,0,8.05
97,Grindavik,IS,2022-07-13 04:05:27,63.8424,-22.4338,46.87,81,75,3.44
98,Lebu,CL,2022-07-13 04:05:27,-37.6167,-73.65,47.34,66,100,3.56
99,Saskylakh,RU,2022-07-13 04:05:28,71.9167,114.0833,55.53,43,92,12.64
100,North Bend,US,2022-07-13 04:05:28,43.4065,-124.2243,61.25,91,100,11.5
101,New Norfolk,AU,2022-07-13 04:05:29,-42.7826,147.0587,50.72,56,19,2.98
102,Mareeba,AU,2022-07-13 04:05:29,-17.0,145.4333,76.44,48,69,1.92
103,Lafiagi,NG,2022-07-13 04:05:30,8.8667,5.4167,72.95,96,99,4.94
104,Panjab,AF,2022-07-13 04:05:30,34.388,67.0233,61.47,30,0,4.61
105,Kavaratti,IN,2022-07-13 04:05:31,10.5669,72.642,81.41,80,100,18.41
106,Hun,LY,2022-07-13 04:05:31,29.1268,15.9477,69.67,73,0,5.48
107,Aykhal,RU,2022-07-13 04:05:31,66.0,111.5,50.45,77,49,13.42
108,Egvekinot,RU,2022-07-13 04:05:32,66.3167,-179.1667,42.91,97,100,1.95
109,Adrar,MR,2022-07-13 04:05:32,20.5022,-10.0711,89.87,8,0,7.83
110,Vista Hermosa,MX,2022-07-13 04:05:33,19.5167,-99.2167,69.55,51,75,12.66
111,Show Low,US,2022-07-13 04:05:33,34.2542,-110.0298,70.09,58,100,0.0
112,Odweyne,SO,2022-07-13 04:05:34,9.4092,45.064,71.11,47,75,21.99
113,Castro,BR,2022-07-13 04:05:34,-24.7911,-50.0119,48.83,93,34,3.56
114,Chokurdakh,RU,2022-07-13 04:05:35,70.6333,147.9167,50.83,76,100,7.07
115,Merauke,ID,2022-07-13 04:05:35,-8.4667,140.3333,78.89,77,98,16.69
116,Requena,ES,2022-07-13 04:05:36,39.4883,-1.1004,66.79,39,0,0.45
117,Adeje,ES,2022-07-13 04:05:36,28.1227,-16.726,70.88,80,40,10.36
118,Tuktoyaktuk,CA,2022-07-13 04:04:37,69.4541,-133.0374,36.75,94,100,10.27
119,Muli,MV,2022-07-13 04:05:37,2.9167,73.5667,82.24,72,72,9.15
120,Lufkin,US,2022-07-13 04:04:03,31.3382,-94.7291,89.51,58,0,5.75
121,Willowmore,ZA,2022-07-13 04:05:37,-33.2926,23.4895,42.58,63,0,6.08
122,Halifax,CA,2022-07-13 04:02:16,44.6453,-63.5724,64.69,87,6,11.01
123,Nouakchott,MR,2022-07-13 04:02:31,18.0858,-15.9785,75.13,87,100,16.24
124,Necochea,AR,2022-07-13 04:05:38,-38.5473,-58.7368,46.56,49,41,18.03
125,Andenes,NO,2022-07-13 04:05:39,69.3143,16.1194,57.92,88,75,9.22
126,Half Moon Bay,US,2022-07-13 04:05:39,37.4636,-122.4286,68.05,85,100,9.22
127,Namatanai,PG,2022-07-13 04:05:40,-3.6667,152.4333,83.12,75,39,9.19
128,Malinyi,TZ,2022-07-13 04:05:40,-8.9333,36.1333,64.27,78,79,1.25
129,Faanui,PF,2022-07-13 04:05:41,-16.4833,-151.75,78.62,69,2,7.09
130,Klaksvik,FO,2022-07-13 04:05:41,62.2266,-6.589,50.92,94,100,20.09
131,Panzhihua,CN,2022-07-13 04:05:42,26.5851,101.7128,89.89,50,17,1.23
132,Husavik,IS,2022-07-13 04:05:42,66.0449,-17.3389,43.18,84,100,12.8
133,Kiri Buru,IN,2022-07-13 04:05:43,22.0833,85.35,83.25,73,93,12.48
134,Valley City,US,2022-07-13 04:05:43,46.9233,-98.0032,64.92,88,20,4.61
135,Acari,PE,2022-07-13 04:06:44,-15.4311,-74.6158,61.21,78,34,4.07
136,Severo-Kurilsk,RU,2022-07-13 04:06:44,50.6789,156.125,56.16,90,68,1.95
137,Ghanzi,BW,2022-07-13 04:06:44,-21.5667,21.7833,50.88,48,0,7.94
138,Pandan,PH,2022-07-13 04:06:45,14.0453,124.1694,86.9,70,100,3.78
139,Zhigansk,RU,2022-07-13 04:06:46,66.7697,123.3711,70.52,53,36,7.96
140,Yar-Sale,RU,2022-07-13 04:06:46,66.8333,70.8333,58.3,46,97,9.86
141,Leningradskiy,RU,2022-07-13 04:06:46,69.3833,178.4167,39.49,89,100,6.93
142,Muros,ES,2022-07-13 04:06:47,42.7762,-9.0603,70.16,79,52,6.71
143,Bilma,NE,2022-07-13 04:06:48,18.6853,12.9164,87.39,17,77,18.05
144,Boa Vista,BR,2022-07-13 04:06:48,2.8197,-60.6733,78.78,83,40,1.14
145,Shar,KZ,2022-07-13 04:06:49,49.5886,81.0453,75.72,36,1,21.99
146,Fortuna,US,2022-07-13 04:06:49,40.5982,-124.1573,58.08,90,100,5.03
147,Semirom,IR,2022-07-13 04:06:49,31.4167,51.5667,71.1,14,0,4.72
148,Ouahigouya,BF,2022-07-13 04:02:21,13.5828,-2.4216,83.55,58,12,10.56
149,Qaanaaq,GL,2022-07-13 04:06:50,77.484,-69.3632,40.35,77,100,2.82
150,Quelimane,MZ,2022-07-13 04:04:38,-17.8786,36.8883,65.03,88,22,2.1
151,Ponta Do Sol,PT,2022-07-13 04:06:51,32.6667,-17.1,67.71,68,29,4.0
152,Saldanha,ZA,2022-07-13 04:06:51,-33.0117,17.9442,52.84,81,0,5.73
153,Saint-Joseph,RE,2022-07-13 04:06:52,-21.3667,55.6167,66.58,73,20,12.21
154,Owando,CG,2022-07-13 04:06:52,-0.4819,15.8999,75.72,60,100,3.62
155,Constitucion,CL,2022-07-13 04:04:12,-35.3333,-72.4167,50.02,86,57,6.82
156,Pedernales,DO,2022-07-13 04:06:53,18.0384,-71.744,80.94,71,100,5.66
157,Vostok,RU,2022-07-13 04:06:53,46.4856,135.8833,78.55,59,61,0.49
158,Emilio Carranza,MX,2022-07-13 04:06:54,19.9711,-96.6114,80.69,86,100,10.31
159,Macheng,CN,2022-07-13 04:06:54,31.1783,115.0319,95.68,54,34,11.59
160,Esil,KZ,2022-07-13 04:06:54,51.9556,66.4042,76.78,59,91,3.94
161,Nakkila,FI,2022-07-13 04:06:55,61.3667,22.0,62.49,94,40,5.75
162,Dwarka,IN,2022-07-13 04:06:55,22.2394,68.9678,83.19,82,99,19.62
163,Miri,MY,2022-07-13 04:06:56,4.4148,114.0089,84.34,67,95,5.37
164,Ondjiva,AO,2022-07-13 04:06:56,-17.0667,15.7333,52.34,49,0,7.02
165,Kemin,KG,2022-07-13 04:06:57,42.7846,75.6892,75.33,33,10,2.75
166,Sakakah,SA,2022-07-13 04:06:57,29.9697,40.2064,86.94,20,97,2.04
167,Taoudenni,ML,2022-07-13 04:06:58,22.6783,-3.9836,97.2,20,68,6.91
168,Falun,SE,2022-07-13 04:06:58,60.6036,15.626,62.22,82,92,2.21
169,Champerico,GT,2022-07-13 04:06:59,14.3,-91.9167,78.76,79,78,5.53
170,Apatou,GF,2022-07-13 04:06:59,5.155,-54.3472,72.34,99,64,2.35
171,Itupiranga,BR,2022-07-13 04:06:59,-5.1347,-49.3267,77.32,63,61,1.52
172,Warri,NG,2022-07-13 04:07:00,5.5167,5.75,73.63,91,100,3.47
